title,avg_monthly_searches,competition_index,api_status,gate_passed,checked_at
Review Companion,1900.0,0.0,success,True,2026-08-17T23:30:16.319777+09:00
Review Journal,12100.0,0.0,success,True,2026-08-18T22:04:18.397619+09:00
Review Zone,1300.0,0.0,success,True,2026-08-17T21:40:37.066671+09:00
Rider Panel,1000.0,0.0,success,True,2026-08-17T21:37:49.733247+09:00
Rider Portal,2900.0,0.0,success,True,2026-08-17T21:41:19.053416+09:00
Roster Form,4400.0,0.0,success,True,2026-08-19T13:29:07.755274+09:00
Rotation Point,1600.0,0.0,success,True,2026-08-17T21:33:05.832312+09:00
Safe Route,1000.0,0.0,success,True,2026-08-18T23:52:08.201955+09:00
Safety Route,1000.0,0.0,success,True,2026-08-17T23:27:23.938977+09:00
Schedule Bridge,2400.0,0.0,success,True,2026-08-17T20:38:41.975413+09:00
Schedule Path,40500.0,0.0,success,True,2026-08-17T21:41:49.444267+09:00
Scholarship Log,14800.0,0.0,success,True,2026-08-19T13:28:19.124767+09:00
Screening Scale,1600.0,0.0,success,True,2026-08-17T21:32:57.336519+09:00
Season Office,1300.0,0.0,success,True,2026-08-19T00:00:54.845309+09:00
Service Directory,1000.0,0.0,success,True,2026-08-19T00:01:49.817235+09:00
Service Loop,2400.0,0.0,success,True,2026-08-17T20:33:43.675774+09:00
Session Window,1000.0,0.0,success,True,2026-08-19T12:24:58.043642+09:00
Shoot Score,1900.0,0.0,success,True,2026-08-19T13:31:38.491721+09:00
Snow Map,27100.0,0.0,success,True,2026-08-17T23:30:30.158673+09:00
Snow Point,2400.0,0.0,success,True,2026-08-17T23:30:16.319777+09:00
Snow Radar,18100.0,0.0,success,True,2026-08-17T23:10:08.054607+09:00
Snow Route,1000.0,0.0,success,True,2026-08-17T23:33:11.202195+09:00
Soil Card,40500.0,0.0,success,True,2026-08-19T13:28:19.124767+09:00
Soil Profile,74000.0,0.0,success,True,2026-08-19T13:29:29.454455+09:00
Sourcing Journal,1300.0,0.0,success,True,2026-08-18T22:09:34.112352+09:00
Staffing Directory,18100.0,0.0,success,True,2026-08-18T23:59:53.624295+09:00
Staffing Log,550000.0,0.0,success,True,2026-08-19T13:24:56.019665+09:00
Staffing Portal,110000.0,0.0,success,True,2026-08-17T21:33:30.231055+09:00
Stairs Trail,1000.0,0.0,success,True,2026-08-19T00:36:48.669353+09:00
Storefront Portal,8100.0,0.0,success,True,2026-08-17T20:39:31.272188+09:00
Subscriber Counter,18100.0,0.0,success,True,2026-08-18T23:57:22.753165+09:00
Supply Core,1000.0,0.0,success,True,2026-08-17T23:05:47.972316+09:00
Syllabus Counter,40500.0,0.0,success,True,2026-08-19T00:05:31.654702+09:00
Tenant Register,8100.0,0.0,success,True,2026-08-17T23:08:08.981233+09:00
Terminal Map,3600.0,0.0,success,True,2026-08-17T20:31:49.556843+09:00
Thermostat Note,1300.0,0.0,success,True,2026-08-19T13:32:18.631834+09:00
Threat Signal,1300.0,0.0,success,True,2026-08-17T21:34:24.214520+09:00
Ticket Board,40500.0,0.0,success,True,2026-08-17T20:31:41.996994+09:00
